Department,Districts,Monthregister,Fund,Rangeincome,Register
SMA-IPS,KABUPATEN LANDAK,July,ORANG TUA,1.500.001 - 2.000.000,N
SMK INFORMATIKA,KABUPATEN SEKADAU,July,ORANG TUA,1.000.001 - 1.500.000,Y
MA IPS,KABUPATEN MELAWI,July,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,July,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KOTA PONTIANAK,July,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KOTA PONTIANAK,July,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KOTA PONTIANAK,July,ORANG TUA,< 500.000,N
MA IPA,KOTA SINGKAWANG,July,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KETAPANG,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN BENGKAYANG,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN BENGKAYANG,July,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,> 5.000.000,N
SMA-IPS,KABUPATEN KAYONG UTARA,July,ORANG TUA,1.500.001 - 2.000.000,N
MA IPS,KABUPATEN MEMPAWAH,July,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KOTA PONTIANAK,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,July,ORANG TUA,1.500.001 - 2.000.000,N
SMK INFORMATIKA,KABUPATEN SAMBAS,July,ORANG TUA,500.001 - 1.000.000,N
MA IPS,KABUPATEN SAMBAS,July,ORANG TUA,> 5.000.000,N
SMA-IPS,KABUPATEN KETAPANG,July,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN KAPUAS HULU,July,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN MELAWI,July,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN KUBU RAYA,July,ORANG TUA,> 5.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,1.000.001 - 1.500.000,Y
SMK INFORMATIKA,KABUPATEN SAMBAS,July,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN SANGGAU,July,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,July,ORANG TUA,2.000.001 - 3.000.000,N
MA IPA,KABUPATEN KAPUAS HULU,July,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN MEMPAWAH,July,ORANG TUA,1.000.001 - 1.500.000,N
SMK INFORMATIKA,KOTA PONTIANAK,July,ORANG TUA,500.001 - 1.000.000,Y
SMK INFORMATIKA,KOTA PONTIANAK,July,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,July,WALI,< 500.000,N
SMA-IPS,KOTA PONTIANAK,July,ORANG TUA,2.000.001 - 3.000.000,Y
STM-MESIN,KOTA PONTIANAK,July,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KOTA PONTIANAK,July,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN SAMBAS,July,ORANG TUA,1.500.001 - 2.000.000,N
SMK INFORMATIKA,KABUPATEN SAMBAS,July,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN SANGGAU,July,ORANG TUA,< 500.000,N
SMA-IPS,KOTA PONTIANAK,July,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KOTA PONTIANAK,July,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KABUPATEN SAMBAS,July,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN SANGGAU,July,ORANG TUA,> 5.000.000,N
SMA-IPS,KABUPATEN SANGGAU,July,ORANG TUA,2.000.001 - 3.000.000,N
MA AGAMA,KABUPATEN KETAPANG,July,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN SINTANG,July,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN KAPUAS HULU,July,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,< 500.000,N
SMA-IPA,KOTA SINGKAWANG,July,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KETAPANG,July,ORANG TUA,> 5.000.000,Y
SMK INFORMATIKA,KOTA SINGKAWANG,July,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN SINTANG,July,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,July,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN KUBU RAYA,July,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMK BISNIS MANAJEMEN,KABUPATEN KUBU RAYA,July,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN MEMPAWAH,July,ORANG TUA,3.000.001 - 5.000.000,N
SMK BISNIS MANAJEMEN,KABUPATEN SINTANG,July,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,July,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,July,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN MELAWI,July,ORANG TUA,< 500.000,N
SMK-PERHOTELAN,KOTA PONTIANAK,July,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,< 500.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,July,ORANG TUA,< 500.000,N
SMA-IPA,KOTA SINGKAWANG,July,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KETAPANG,July,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,July,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,> 5.000.000,N
SMK PERTANIAN,KABUPATEN SAMBAS,July,ORANG TUA,< 500.000,N
SMA-IPA,KOTA SINGKAWANG,July,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,July,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KETAPANG,July,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KETAPANG,July,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN LANDAK,July,ORANG TUA,500.001 - 1.000.000,Y
MA IPS,KABUPATEN SEKADAU,July,ORANG TUA,1.000.001 - 1.500.000,Y
MA IPA,KABUPATEN MELAWI,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,July,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KABUPATEN KUBU RAYA,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,July,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN SAMBAS,July,ORANG TUA,> 5.000.000,N
SMA-IPA,KABUPATEN KETAPANG,July,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA SINGKAWANG,July,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KOTA PONTIANAK,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,July,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KOTA PONTIANAK,July,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KOTA PONTIANAK,July,ORANG TUA,> 5.000.000,N
SMK INFORMATIKA,KOTA SINGKAWANG,July,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,July,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KETAPANG,July,ORANG TUA,2.000.001 - 3.000.000,N
SMK PARIWISATA,KOTA PONTIANAK,July,ORANG TUA,1.000.001 - 1.500.000,N
SMK-MEKANIK,KOTA PONTIANAK,July,ORANG TUA,2.000.001 - 3.000.000,N
SMK INFORMATIKA,KABUPATEN KETAPANG,July,ORANG TUA,2.000.001 - 3.000.000,N
SMK INFORMATIKA,KABUPATEN SEKADAU,July,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA PONTIANAK,July,ORANG TUA,< 500.000,Y
SMA-IPA,KABUPATEN KAYONG UTARA,July,ORANG TUA,3.000.001 - 5.000.000,N
SMK INFORMATIKA,KABUPATEN KUBU RAYA,July,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN SAMBAS,July,ORANG TUA,500.001 - 1.000.000,Y
SMK TEKNIK INDUSTRI,KOTA PONTIANAK,July,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN SANGGAU,July,ORANG TUA,3.000.001 - 5.000.000,N
MA IPS,KABUPATEN SANGGAU,July,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN LANDAK,July,ORANG TUA,3.000.001 - 5.000.000,N
SMK-PERHOTELAN,KOTA PONTIANAK,July,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KOTA SINGKAWANG,July,ORANG TUA,3.000.001 - 5.000.000,N
SMK AKUNTANSI,KABUPATEN SAMBAS,July,ORANG TUA,< 500.000,Y
SMK AKUNTANSI,KABUPATEN SAMBAS,July,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN SANGGAU,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,July,ORANG TUA,> 5.000.000,N
SMA-IPA,KABUPATEN SINTANG,July,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,July,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,July,ORANG TUA,500.001 - 1.000.000,Y
SMK INFORMATIKA,KOTA PONTIANAK,July,ORANG TUA,< 500.000,Y
SMA-IPA,KABUPATEN SAMBAS,July,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN SINTANG,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN SEKADAU,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KOTA PONTIANAK,July,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KOTA PONTIANAK,July,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,July,ORANG TUA,< 500.000,Y
STM-SIPIL,KABUPATEN SINTANG,July,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN MELAWI,July,ORANG TUA,1.500.001 - 2.000.000,Y
SMK BISNIS MANAJEMEN,KABUPATEN SAMBAS,July,ORANG TUA,1.000.001 - 1.500.000,N
SMK BISNIS MANAJEMEN,KABUPATEN SAMBAS,July,ORANG TUA,500.001 - 1.000.000,Y
SMK AKUNTANSI,KABUPATEN SAMBAS,July,ORANG TUA,< 500.000,Y
SMA-IPA,KABUPATEN SAMBAS,July,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN SAMBAS,July,ORANG TUA,1.500.001 - 2.000.000,Y
MA IPS,KABUPATEN SAMBAS,July,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN KETAPANG,July,ORANG TUA,1.000.001 - 1.500.000,N
STM-LISTRIK,KABUPATEN SINTANG,July,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,July,ORANG TUA,500.001 - 1.000.000,Y
SMK Perkantoran,KABUPATEN BENGKAYANG,July,ORANG TUA,1.500.001 - 2.000.000,Y
STM-LISTRIK,KABUPATEN SEKADAU,July,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN SEKADAU,July,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN SEKADAU,July,BEASISWA,< 500.000,Y
MA IPS,KABUPATEN MEMPAWAH,July,ORANG TUA,500.001 - 1.000.000,N
STM-MESIN,KOTA PONTIANAK,July,ORANG TUA,1.500.001 - 2.000.000,N
STM-MESIN,KOTA PONTIANAK,July,ORANG TUA,< 500.000,Y
SMA-IPS,KOTA PONTIANAK,July,ORANG TUA,3.000.001 - 5.000.000,N
PAKET C,KOTA PONTIANAK,July,ORANG TUA,3.000.001 - 5.000.000,N
MA IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KOTA PONTIANAK,July,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KOTA SINGKAWANG,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA SINGKAWANG,July,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN SANGGAU,July,ORANG TUA,500.001 - 1.000.000,Y
SMK INFORMATIKA,KABUPATEN KUBU RAYA,July,ORANG TUA,500.001 - 1.000.000,Y
STM-LISTRIK,KOTA SINGKAWANG,July,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KOTA PONTIANAK,July,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMK AKUNTANSI,KOTA PONTIANAK,July,ORANG TUA,> 5.000.000,Y
MA IPA,KOTA PONTIANAK,July,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN MEMPAWAH,July,ORANG TUA,1.500.001 - 2.000.000,N
MA IPA,KABUPATEN KETAPANG,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,July,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA PONTIANAK,July,ORANG TUA,2.000.001 - 3.000.000,N
MA IPS,KOTA SINGKAWANG,July,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,July,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN MEMPAWAH,July,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN SANGGAU,July,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,July,ORANG TUA,< 500.000,Y
SMA-IPA,KABUPATEN KETAPANG,July,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,July,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KOTA PONTIANAK,July,ORANG TUA,> 5.000.000,N
SMK INFORMATIKA,KABUPATEN SINTANG,July,ORANG TUA,2.000.001 - 3.000.000,Y
MA IPS,KABUPATEN SINTANG,July,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,July,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN KAPUAS HULU,July,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN BENGKAYANG,July,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,July,BEASISWA,1.000.001 - 1.500.000,Y
SMA-IPA,KOTA PONTIANAK,July,ORANG TUA,3.000.001 - 5.000.000,Y
SMK INFORMATIKA,KOTA PONTIANAK,July,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN SANGGAU,July,ORANG TUA,2.000.001 - 3.000.000,Y
SMK AKUNTANSI,KABUPATEN SAMBAS,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,> 5.000.000,N
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,1.500.001 - 2.000.000,N
SMK INFORMATIKA,KABUPATEN SANGGAU,August,ORANG TUA,2.000.001 - 3.000.000,N
MA IPS,KABUPATEN KETAPANG,August,ORANG TUA,> 5.000.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,500.001 - 1.000.000,Y
SMK INFORMATIKA,KABUPATEN SAMBAS,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN SANGGAU,August,ORANG TUA,3.000.001 - 5.000.000,N
SMK Perkantoran,KABUPATEN SANGGAU,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KAYONG UTARA,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KAYONG UTARA,August,BEASISWA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,500.001 - 1.000.000,Y
MA IPS,KABUPATEN MEMPAWAH,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,500.001 - 1.000.000,N
SMK-MEKANIK,KABUPATEN SAMBAS,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMKA,KABUPATEN MEMPAWAH,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN SINTANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KAYONG UTARA,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMK PARIWISATA,KOTA PONTIANAK,August,ORANG TUA,< 500.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KOTA SINGKAWANG,August,ORANG TUA,1.500.001 - 2.000.000,N
MA IPA,KOTA SINGKAWANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN SINTANG,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,August,BEKERJA SENDIRI,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN KAPUAS HULU,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KOTA SINGKAWANG,August,ORANG TUA,3.000.001 - 5.000.000,N
MA AGAMA,KOTA PONTIANAK,August,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN MEMPAWAH,August,ORANG TUA,< 500.000,Y
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,1.500.001 - 2.000.000,N
SMK INFORMATIKA,KABUPATEN SINTANG,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMK-MEKANIK,KABUPATEN LANDAK,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN KAYONG UTARA,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KAYONG UTARA,August,ORANG TUA,1.500.001 - 2.000.000,N
SMK BISNIS MANAJEMEN,KOTA PONTIANAK,August,ORANG TUA,< 500.000,N
MA IPA,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,N
SMK AKUNTANSI,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KOTA SINGKAWANG,August,ORANG TUA,3.000.001 - 5.000.000,N
STM-MESIN,KOTA SINGKAWANG,August,ORANG TUA,1.000.001 - 1.500.000,N
STM-MESIN,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,N
MA IPS,KABUPATEN KETAPANG,August,ORANG TUA,1.000.001 - 1.500.000,Y
MA AGAMA,KOTA PONTIANAK,August,ORANG TUA,< 500.000,N
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KOTA SINGKAWANG,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,< 500.000,N
SMK INFORMATIKA,KABUPATEN SANGGAU,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN KETAPANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KAYONG UTARA,August,ORANG TUA,500.001 - 1.000.000,N
SMK INFORMATIKA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KOTA SINGKAWANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN SANGGAU,August,ORANG TUA,> 5.000.000,N
SMA-IPS,KABUPATEN KETAPANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
MA IPS,KOTA PONTIANAK,August,ORANG TUA,< 500.000,N
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,500.001 - 1.000.000,Y
PAKET C,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN SANGGAU,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN SANGGAU,August,ORANG TUA,< 500.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN SINTANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KABUPATEN LANDAK,August,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN KAYONG UTARA,August,ORANG TUA,< 500.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
STM-MESIN,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KOTA SINGKAWANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMK-MEKANIK,KOTA PONTIANAK,August,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN SINTANG,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,August,ORANG TUA,500.001 - 1.000.000,N
MA IPA,KOTA SINGKAWANG,August,ORANG TUA,> 5.000.000,N
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,500.001 - 1.000.000,N
SMK INFORMATIKA,KABUPATEN SINTANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN SINTANG,August,ORANG TUA,500.001 - 1.000.000,Y
SMK Perkantoran,KABUPATEN SINTANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMK-MEKANIK,KABUPATEN SINTANG,August,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN LANDAK,August,ORANG TUA,< 500.000,Y
STM-PERIKANAN,KABUPATEN KUBU RAYA,August,ORANG TUA,1.500.001 - 2.000.000,Y
SPK KEPERAWATAN,KOTA PONTIANAK,August,ORANG TUA,> 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,August,ORANG TUA,2.000.001 - 3.000.000,N
SMK Perkantoran,KOTA SINGKAWANG,August,ORANG TUA,3.000.001 - 5.000.000,Y
SPP-SMF,KABUPATEN KUBU RAYA,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,August,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN SAMBAS,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN MEMPAWAH,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN MEMPAWAH,August,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN MEMPAWAH,August,ORANG TUA,< 500.000,Y
SMK AKUNTANSI,KABUPATEN MEMPAWAH,August,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN SANGGAU,August,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN SANGGAU,August,ORANG TUA,1.000.001 - 1.500.000,N
